ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
17;Elektrische Kraftstoffpumpe 3. Generation;EKP360;04.08.2005;06;7276046;23;D_EKP;7;OKAY;BC,F1,17,5A,80,00,00,07,27,60,46,06,13,10,10,56,44,20,05,08,04,07,00,13,03,06,00,03,04,02,03,00,00,01,00,00,07,26,80,28,19,00,23,41,30,30,37,31,51,56,30,30,30,37,31,51,56,30,46,30,33,30,41,50;;EKP;19;4;Helbako;6.0.3;0.19.3;4.2.3;0.0.1;22084;019002341;2005;4112;8
19;Verteilergetriebe Steuergerät;VGSG70;14.12.2009;14;7606630;25;D_VGSG;60;OKAY;BC,F1,19,5A,80,00,00,07,60,66,30,14,04,0D,60,51,50,20,09,12,14,60,00,22,B8,02,06,00,03,03,1E,00,00,00,00,00,07,56,99,71,14,17,82,91,30,36,30,39,52,38,34,30,36,30,39,52,38,34,44,32,36,30,4D,60;;VGSG;4;14;Magna Steyr;2.6.0;0.34.184;3.3.30;0.0.0;20816;014178291;2009;3424;12
5F;Fernlicht Assistent Rüko;FLA_R;19.02.2009;01;9225989;95;D_FLA;67;OKAY;BC,F1,5F,5A,80,00,00,09,22,59,89,01,0A,12,90,58,4A,20,09,02,19,67,00,21,8E,04,32,07,04,02,02,00,00,07,00,00,09,20,62,00,12,34,56,78,30,36,37,31,51,55,30,30,36,37,31,51,55,30,46,30,31,30,41,E7;;FLA;10;19;Gentex GmbH;4.50.7;0.33.142;4.2.2;0.0.7;22602;012345678;2009;4752;2
01;Airbag-Elektronik;ACSM2;03.11.2011;03;9240083;1;D_SIM;8;OKAY;9F,F1,01,5A,80,00,00,09,24,00,83,03,26,0C,A1,4E,4B,20,11,11,03,08,00,1F,46,22,0A,08,03,28,0A,00,00,00,A5;;MRS;38;3;Bosch;34.10.8;0.31.70;3.40.10;0.0.0;20043;;2011;3233;11
64;Park Distance Control Rüko;PDCR3;28.11.2011;00;9249451;100;D_PDC;11;OKAY;BC,F1,64,5A,80,00,00,09,24,94,51,00,01,12,70,57,50,20,11,11,28,11,00,20,03,04,04,01,04,02,03,00,00,00,00,00,09,20,56,81,13,30,02,1A,30,31,31,32,41,58,30,30,31,31,32,41,58,30,46,30,38,30,41,6F;;PDC;1;28;Valeo;4.4.1;0.32.3;4.2.3;0.0.0;22352;01330021A;2011;4720;11
61;COMBOX Notruf Rüko;CECALLR;27.10.2011;05;9257166;97;D_ECALL;20;OKAY;BC,F1,61,5A,80,00,00,09,25,71,66,05,06,12,10,58,57,20,11,10,27,20,00,1F,60,03,04,05,04,02,02,00,00,00,00,00,09,24,29,15,02,66,66,70,30,32,30,32,49,4B,30,30,32,30,32,49,4B,30,46,35,35,30,41,BE;;FBI;6;27;Becker;3.4.5;0.31.96;4.2.2;0.0.0;22615;002666670;2011;4624;10
18;Getriebesteuergerät GS19 D;GS19D;11.10.2011;20;7605219;24;D_EGS;8;OKAY;BC,F1,18,5A,80,00,00,07,60,52,19,20,05,02,04,53,4C,20,11,10,11,08,00,1D,45,C3,40,02,02,03,0A,00,00,00,00,00,07,56,99,80,40,84,34,51,30,34,37,39,53,39,30,30,34,37,39,53,39,30,54,36,34,32,5A,34;;EGS;5;11;Bosch;195.64.2;0.29.69;2.3.10;0.0.0;21324;040843451;2011;516;10
67;Zentrale Bedieneinheit;ZBE_60_2;02.09.2009;19;9249439;103;D_EC;61;OKAY;BC,F1,67,5A,80,00,00,09,24,94,39,19,05,10,90,55,58,20,09,09,02,61,00,25,FC,04,21,0A,04,02,03,00,00,00,00,00,09,22,59,90,00,00,00,00,30,36,31,32,30,53,30,30,36,31,32,30,53,30,46,30,38,30,41,6C;;ZBE;5;2;Marquardt;4.33.10;0.37.252;4.2.3;0.0.0;21848;000000000;2009;4240;9
6D;Sitzmodul Fahrer;FAS_PLX;07.12.2011;03;9264975;109;D_FAS;24;OKAY;BC,F1,6D,5A,80,00,00,09,26,49,75,03,20,0C,50,53,4E,20,11,12,07,24,00,0A,14,08,04,01,03,03,03,00,00,00,00,00,09,21,34,35,00,15,67,39,30,39,36,31,35,30,30,30,39,36,31,35,30,32,46,30,35,30,41,D3;;FAS;32;7;Temic;8.4.1;0.10.20;3.3.3;0.0.0;21326;000156739;2011;3152;12
6E;Sitzmodul Beifahrer;BFS_PLX;07.12.2011;03;9264975;110;D_BFS;24;OKAY;BC,F1,6E,5A,80,00,00,09,26,49,75,03,20,0C,50,53,4E,20,11,12,07,24,00,0A,12,08,04,01,03,03,03,00,00,00,00,00,09,21,34,35,00,15,67,38,30,39,36,31,35,30,30,30,39,36,31,35,30,32,46,30,35,30,41,D1;;BFS;32;7;Temic;8.4.1;0.10.18;3.3.3;0.0.0;21326;000156738;2011;3152;12
56;Funktionszentrum Dach;FZD_70;09.12.2011;19;9225868;86;D_FZD;3;OKAY;9F,F1,56,5A,80,00,00,09,22,58,68,19,06,0D,70,4E,51,20,11,12,09,03,00,13,08,05,01,09,04,00,01,00,00,02,66;;FZD;6;9;Hella;5.1.9;0.19.8;4.0.1;0.0.2;20049;;2011;3440;12
73;Zentrales Info Display Rüko;CIDR_70;08.12.2011;A17;9289580;115;D_CID;53;OKAY;BC,F1,73,5A,80,00,00,09,28,95,80,D1,00,11,B0,58,41,20,11,12,08,53,00,26,0D,C7,49,40,04,02,01,00,00,00,00,00,09,20,89,49,15,05,58,74,30,35,33,32,42,41,30,30,35,33,32,42,41,33,46,31,33,31,41,8D;;CID;0;8;Borg Instruments;199.73.64;0.38.13;4.2.1;0.0.0;22593;015055874;2011;4528;12
78;Klimaautomatik;IHKA70;07.12.2011;08;9310449;120;D_KLIMA;21;OKAY;BC,F1,78,5A,80,00,00,09,31,04,49,08,08,0D,30,4E,48,20,11,12,07,21,00,23,0D,05,21,FF,03,03,3C,00,00,00,00,00,09,21,55,12,21,29,10,07,30,32,31,31,41,44,30,30,32,31,31,41,44,30,46,32,44,30,41,7C;;KLIMA;8;7;Preh;5.33.255;0.35.13;3.3.60;0.0.0;20040;021291007;2011;3376;12
79;Fond Klimaautomatik;FKA_70;05.12.2011;06;9215515;121;D_KLIMA2;21;OKAY;BC,F1,79,5A,80,00,00,09,21,55,15,06,01,0D,40,50,41,20,11,12,05,21,00,1F,F0,05,04,FF,03,03,3C,00,00,00,00,00,09,21,55,15,21,29,18,80,30,32,31,31,46,47,30,30,32,31,31,46,47,30,46,30,44,30,41,DE;;KLIMA2;1;5;Preh;5.4.255;0.31.240;3.3.60;0.0.0;20545;021291880;2011;3392;12
29;Dynamische Stabilitätskontrolle EHB_3 Allrad;DXC_70;23.03.2011;10;6854704;41;D_DSC;8;OKAY;BC,F1,29,5A,80,00,00,06,85,47,04,10,05,0B,C5,50,44,20,11,03,23,08,00,23,00,2C,4B,00,00,00,00,3C,29,56,00,00,06,77,04,06,42,36,63,25,30,30,38,31,38,5A,30,30,30,38,31,38,5A,30,46,39,34,30,42,75;;DSC;5;23;Bosch;44.75.0;0.35.0;0.0.0;60.41.86;20548;042366325;2011;3013;3
60;Instrumentenkombi;KOMB70;06.12.2011;12;9231324;96;D_KOMBI;10;OKAY;9F,F1,60,5A,80,00,00,09,23,13,24,12,03,0C,F0,4E,53,20,11,12,06,10,00,20,D4,B3,41,41,03,10,01,00,00,00,75;;KOMBI;3;6;VDO;179.65.65;0.32.212;3.16.1;0.0.0;20051;;2011;3312;12
