SIGNATURE : 00010001010163 02
SWT_EINTRAG : 10E4 "AEND_INDEX[1]"
SWT_EINTRAG : 10E5 "AEND_INDEX[2]"
SWT_EINTRAG : 1190 "AEND_V_SCHWENK_N_AUSSE_SP"
SWT_EINTRAG : 0E19 "AEND_V_SCHWENK_N_AUSSEN"
SWT_EINTRAG : 0AE0 "AEREA_CODE_DVD"
SWT_EINTRAG : 12D9 "AFS_ENABLE"
SWT_EINTRAG : 1397 "AFS_ENABLE_12"
SWT_EINTRAG : 1465 "AG_M_ALWR"
SWT_EINTRAG : 0371 "AHK_ABSTAND"
SWT_EINTRAG : 1191 "AHL_MODE_CKM_0"
SWT_EINTRAG : 1192 "AHL_MODE_CKM_1"
SWT_EINTRAG : 1193 "AHL_MODE_CKM_2"
SWT_EINTRAG : 1194 "AHL_MODE_CKM_3"
SWT_EINTRAG : 1466 "AHL2_ENABLE"
SWT_EINTRAG : 0A29 "AHM_ALIVE"
SWT_EINTRAG : 0B4C "AHPS_LI"
SWT_EINTRAG : 0B4D "AHPS_RE"
SWT_EINTRAG : 0B50 "AIRBAG_BF_STUFE1_1"
SWT_EINTRAG : 0B51 "AIRBAG_BF_STUFE2_1"
SWT_EINTRAG : 1171 "AIRBAG_COMM_TEST_DELAY"
SWT_EINTRAG : 0B58 "AIRBAG_FA_STUFE1_1"
SWT_EINTRAG : 0B59 "AIRBAG_FA_STUFE2_1"
SWT_EINTRAG : 1172 "AIRBAG_INTRFCE_ERROR_DUR"
SWT_EINTRAG : 10BD "AIRBAG_POS"
SWT_EINTRAG : 098C "AIRBAG_TRIGGERED_E-CALL"
SWT_EINTRAG : 07BF "AKASP"
SWT_EINTRAG : 0E90 "AKIRA_MEMS/GATS"
SWT_EINTRAG : 07BE "AKRJT"
SWT_EINTRAG : 1320 "AKTIV_NIEDERHALTEN"
SWT_EINTRAG : 0B48 "AKTIVE_KOPFSTUETZE_BF"
SWT_EINTRAG : 0B47 "AKTIVE_KOPFSTUETZE_FA"
SWT_EINTRAG : 0C53 "AKTIVIERUNG_EMF"
SWT_EINTRAG : 08BE "AKTIVZEIT_KAPSENSOR_BT"
SWT_EINTRAG : 08B7 "AKTIVZEIT_KAPSENSOR_BTH"
SWT_EINTRAG : 08BA "AKTIVZEIT_KAPSENSOR_FT"
SWT_EINTRAG : 08BC "AKTIVZEIT_KAPSENSOR_FTH"
SWT_EINTRAG : 0359 "AKUSTIK_RECHTS_LINKS"
SWT_EINTRAG : 037F "AKUSTISCHE_FEHLERMELDUNG"
SWT_EINTRAG : 05B0 "AL_KL50_SCHUTZ"
SWT_EINTRAG : 00F8 "ALARM_LEVEL_X"
SWT_EINTRAG : 00FE "ALARM_LEVEL_Y"
SWT_EINTRAG : 14EA "ALARM_LEVEL_Z"
SWT_EINTRAG : 09FC "ALARM_OPT_ABBLENDLICHT"
SWT_EINTRAG : 098E "ALARM_OPT_FERNLICHT"
SWT_EINTRAG : 00E4 "ALARM_OPT_WARNBLINKER"
SWT_EINTRAG : 0106 "ALARM_PAUSE_TIME"
SWT_EINTRAG : 0104 "ALARM_TIME_EXT_SUPPLY"
SWT_EINTRAG : 0105 "ALARM_TIME_SELF_SUPPLY"
SWT_EINTRAG : 138E "ALARM_TYPE"
SWT_EINTRAG : 0B42 "ALARMTYP"
SWT_EINTRAG : 0E1A "ALC_ABSENKUNG_10_KM/H"
SWT_EINTRAG : 0E1B "ALC_ABTASTRATE_DYN"
SWT_EINTRAG : 0E1C "ALC_ABTASTRATE_TREND"
SWT_EINTRAG : 0E1D "ALC_ABWEICHUNG_TREND"
SWT_EINTRAG : 0E1E "ALC_ANHEBUNG_175_KM/H"
SWT_EINTRAG : 0E1F "ALC_AUSWERT_GRADIENT"
SWT_EINTRAG : 0E20 "ALC_AUSWERT_PROP_ABWEICH"
SWT_EINTRAG : 1152 "ALC_CC_127_ZUST_4_OFF"
SWT_EINTRAG : 1153 "ALC_CC_127_ZUST_5_OFF"
SWT_EINTRAG : 1154 "ALC_CC_AL_OFF"
SWT_EINTRAG : 1155 "ALC_CC_ALC_ERR_OFF"
SWT_EINTRAG : 0E21 "ALC_DAUER_DYN_NACHFUEHR"
SWT_EINTRAG : 0E22 "ALC_DEF_LWR_SENSOR_HI"
SWT_EINTRAG : 1156 "ALC_DEFEKT_TIMER"
SWT_EINTRAG : 0E23 "ALC_DIFFERENZ_MSP_DYN_STA"
SWT_EINTRAG : 1467 "ALC_DIS_AUSGL_NICK_GW"
SWT_EINTRAG : 0F87 "ALC_DISABLE_AUSGL_NICK_GW"
